.hta                 (Status: 403) [Size: 295]
.hta.txt             (Status: 403) [Size: 299]
.hta.bak             (Status: 403) [Size: 299]
.hta.xml             (Status: 403) [Size: 299]
.hta.js              (Status: 403) [Size: 298]
.hta.json            (Status: 403) [Size: 300]
.hta.old             (Status: 403) [Size: 299]
.hta.php             (Status: 403) [Size: 299]
.hta.env             (Status: 403) [Size: 299]
.hta.zip             (Status: 403) [Size: 299]
.htaccess.txt        (Status: 403) [Size: 304]
.htaccess.zip        (Status: 403) [Size: 304]
.htaccess.html       (Status: 403) [Size: 305]
.htaccess.old        (Status: 403) [Size: 304]
.htaccess            (Status: 403) [Size: 300]
.htaccess.js         (Status: 403) [Size: 303]
.htaccess.php        (Status: 403) [Size: 304]
.htaccess.json       (Status: 403) [Size: 305]
.hta.html            (Status: 403) [Size: 300]
.htaccess.bak        (Status: 403) [Size: 304]
.htaccess.xml        (Status: 403) [Size: 304]
.htpasswd.html       (Status: 403) [Size: 305]
.htpasswd            (Status: 403) [Size: 300]
.htpasswd.js         (Status: 403) [Size: 303]
.htpasswd.txt        (Status: 403) [Size: 304]
.htpasswd.old        (Status: 403) [Size: 304]
.htpasswd.bak        (Status: 403) [Size: 304]
.htpasswd.env        (Status: 403) [Size: 304]
.htpasswd.xml        (Status: 403) [Size: 304]
.htpasswd.zip        (Status: 403) [Size: 304]
.htpasswd.php        (Status: 403) [Size: 304]
.htpasswd.json       (Status: 403) [Size: 305]
.htaccess.env        (Status: 403) [Size: 304]
about.php            (Status: 200) [Size: 4900]
config               (Status: 200) [Size: 954]
docs                 (Status: 200) [Size: 1141]
external             (Status: 200) [Size: 1143]
favicon.ico          (Status: 200) [Size: 1406]
index.php            (Status: 200) [Size: 1523]
index.php            (Status: 200) [Size: 1523]
instructions.php     (Status: 200) [Size: 12506]
login.php            (Status: 200) [Size: 1523]
logout.php           (Status: 200) [Size: 1523]
php.ini              (Status: 200) [Size: 148]
phpinfo.php          (Status: 200) [Size: 1523]
phpinfo.php          (Status: 200) [Size: 1523]
robots.txt           (Status: 200) [Size: 26]
robots.txt           (Status: 200) [Size: 26]
security.php         (Status: 200) [Size: 1523]
server-status        (Status: 403) [Size: 304]
setup.php            (Status: 200) [Size: 3679]
